Gene	TCGA-N5-A4R8-01A	TCGA-N5-A4RA-01A	TCGA-N5-A4RD-01A	TCGA-N5-A4RF-01A	TCGA-N5-A4RJ-01A	TCGA-N5-A4RM-01A	TCGA-N5-A4RN-01A	TCGA-N5-A4RO-01A	TCGA-N5-A4RS-01A	TCGA-N5-A4RT-01A	TCGA-N5-A4RU-01A	TCGA-N5-A4RV-01A	TCGA-N5-A59E-01A	TCGA-N5-A59F-01A	TCGA-N6-A4V9-01A	TCGA-N6-A4VC-01A	TCGA-N6-A4VD-01A	TCGA-N6-A4VE-01A	TCGA-N6-A4VF-01A	TCGA-N6-A4VG-01A	TCGA-N7-A4Y0-01A	TCGA-N7-A4Y5-01A	TCGA-N7-A4Y8-01A	TCGA-N7-A59B-01A	TCGA-N8-A4PI-01A	TCGA-N8-A4PL-01A	TCGA-N8-A4PM-01A	TCGA-N8-A4PN-01A	TCGA-N8-A4PO-01A	TCGA-N8-A4PP-01A	TCGA-N8-A4PQ-01A	TCGA-N8-A56S-01A	TCGA-N9-A4PZ-01A	TCGA-N9-A4Q1-01A	TCGA-N9-A4Q3-01A	TCGA-N9-A4Q4-01A	TCGA-N9-A4Q7-01A	TCGA-NA-A4QV-01A	TCGA-NA-A4QW-01A	TCGA-NA-A4QX-01A	TCGA-NA-A4QY-01A	TCGA-NA-A4R0-01A	TCGA-NA-A4R1-01A	TCGA-NA-A5I1-01A	TCGA-ND-A4W6-01A	TCGA-ND-A4WA-01A	TCGA-ND-A4WC-01A	TCGA-ND-A4WF-01A	TCGA-NF-A4WU-01A	TCGA-NF-A4WX-01A	TCGA-NF-A4X2-01A	TCGA-NF-A5CP-01A	TCGA-NG-A4VU-01A	TCGA-NG-A4VW-01A	TCGA-QM-A5NM-01A	TCGA-QN-A5NN-01A
CCND2	72.27535686093593	29.074977763387054	42.937021641896315	9.186393807934147	20.344108519325136	14.7175558435137	27.4782367136461	8.616246721638493	29.898226994398993	9.72967445856617	17.492953637454786	0.9000208453508152	117.64593594512112	67.01508797536142	1.9273161100591376	31.151063627784545	0.6740302799024418	18.465273065859126	10.974131192862606	17.713966050702044	17.37113914034995	69.26587377389819	50.00180146846046	0.8945856356643465	17.918302206243258	60.01677120426644	37.80004598439072	33.09927362709706	9.817400450644357	9.282422013564549	35.60564053969011	53.730907180293	1.0208947784351765	57.693682904652924	89.35789088278797	42.397699786054076	40.414134034000206	7.118088036679934	38.37380005708324	37.569104297229195	38.67721304694395	6.1570122746294365	0.9790701125525381	52.012209006514475	30.00813677334807	2.5371073821544465	3.3585588843187972	75.15271970341453	40.84246990751613	63.00359939204816	0.8790469343345124	1.3567482913343176	4.389768969905983	0.47437206408907806	0.8850804062514706	1.1443658822355554
GALR1	0.0	0.01648327888337575	0.033523608466387245	0.0	0.09995707541069221	0.005737756490299173	0.021717069282712442	0.0	0.01596996989091659	0.0016571968747332022	0.0	0.0	0.007673258241190917	0.009447830894953047	0.0	0.004129636467539832	0.006763875239737205	0.0	0.0	0.005913445234469572	0.0	0.0	0.0017247763195298305	0.0	0.012539596663103447	0.0038250988123309515	0.0019173779121794965	0.0036123137863623977	0.0	0.005423675245063375	0.0	0.039256753541167644	0.0	0.005906683707428195	0.0019007851384804653	0.004123306615749334	0.0	0.01977167985611117	0.5961006451681696	0.0	0.11231131807575045	0.00396537746132819	0.0040259005990299634	0.0416570339987945	0.002522476053420375	0.0	0.0020189757005302233	0.024719094089197036	0.0066745294862182725	0.06014090251588056	0.0036469785700281587	0.0	0.002057010328312625	0.05644717572467228	0.002431073920428073	0.0
BMP2K	0.39150768502279565	0.17651438806682873	0.42654670755724733	0.4617570723500799	0.6083442947150033	0.20217017902832857	0.5646946582059014	0.6507528182296274	0.18205090752428887	1.5284814696496607	0.6162410296188761	0.7436122723589866	0.45922748064615226	0.5306735764724779	0.4985790562127377	0.41940534775321914	0.7202337769088898	0.3645252436544011	0.9326279015403374	0.8150575707885508	0.29355073543510657	0.2147478580121358	0.21091664471205895	0.3456505995431818	0.922652115954393	0.4380271221411549	0.3616389284959276	0.8366793720824237	0.41107457149735094	1.1559888690551547	0.5824979309628406	0.3680821469150475	0.5316457512329544	0.3325876597224262	0.2875954091979571	0.45935681171635334	0.5226068371452577	0.46381661006062114	0.5322189428245845	0.8111827263982694	0.5956483198355835	1.0499569774852562	1.3350855389543321	0.4995412880634307	0.45224025872807094	0.3664843657581962	0.44984781737187207	0.3906595630792249	0.4496039088959176	0.3670281435517928	1.4607596881830855	1.5426632070486521	0.5329329183762654	0.5990157475305056	0.5265510901639692	0.6149616521029104
SIRPG	0.0225378741948834	0.07571868386294867	0.00855534848835604	0.14885870683691116	0.8014594135644719	0.32946673781008684	0.07255343331167285	0.016967994720024082	0.2515224466520434	0.038063047753770896	0.32031562193603547	0.08855388827172406	0.3084233978496014	0.8506435876838505	0.06476267148512171	0.14227629118807084	0.4738325397793406	0.13540329133391826	2.8658094808520267	0.47084950467335607	0.16042284212176994	0.0	0.08715351670988336	0.4893247314565994	0.016457920993071307	0.03514245554702633	0.07927014989199122	0.09126570395662448	0.14073512097126994	0.7474366371397079	0.9749178962790286	0.04293629250253517	0.03504236774617242	0.2622888982428573	0.13970516425470558	0.12311711705172157	8.281605094788969	0.09908127362127428	0.3285944983717115	0.08635933419163822	0.050580463209573656	1.9946105088999158	0.05548093256388187	0.2460323778761515	0.3707972292482409	0.05467056240196744	0.7326855613022714	0.2365651483282183	0.061321123263700095	0.01023212004840568	0.09214151543738613	0.43310649068272733	0.09449219166499634	0.02074395942150642	0.0	0.018543601432675638
ADRB2	0.23481807235496444	0.43279897532534894	0.3286913701254559	0.3231108730065908	0.1032910013649131	0.034326548994192185	0.05905634529676407	0.17126191824421766	0.13648788009316104	0.8030584488166153	2.195904327953936	0.057664193292275234	0.25248206589761035	0.457830963772925	0.31628937584081096	0.29029377302088566	2.2862939511098257	2.2571882041009554	0.841911242872738	0.09434031944243015	0.005803530707037208	0.4427542867345302	0.036115102876535854	0.031341311606572386	0.20362315377963713	0.5835403212540515	0.20073994455789546	0.3079557830502271	0.4919802253853114	0.17846144200891634	1.4184782849978586	0.5983246560319511	0.21107352410832414	0.12956961768407016	0.4150629068561291	0.28368181853635854	0.23884129200197957	1.1774786326328557	1.1466755502303227	0.5981375224899115	0.24373231165172182	0.37363979318473306	0.07827704814145942	1.210478981551204	0.39236334750461754	0.20342956873993256	0.07247202116664653	0.5052696268288304	0.1663785922608767	0.32648278950929965	0.18000111322428825	0.2657577964963902	0.34457402404690707	0.24314354528505344	0.7490200178822848	1.0022377624830359
RRP12	19.521170881543018	8.087662155001313	6.892958713536313	5.057574484591257	7.274972028364136	15.249622717793276	6.07442115126946	17.007278343382172	7.413387455700082	14.728172553752614	7.767512996713309	8.462835800467328	7.259651268787161	10.947609413528607	3.887861715916589	13.693337078071295	7.167037177276045	3.523724204237851	3.8207645420002976	13.940921833599043	13.977015410283464	9.356010809001877	15.73699018112466	8.626493606349015	4.622607222301881	11.235501221222117	6.869453848496187	11.441440407471573	6.380619180147195	10.06617528237797	9.840543580905656	9.866720750684992	7.590286142991443	10.736762290611544	7.852049805227397	16.77426831530793	8.55056129054147	7.590029443281761	10.491475223816833	11.765357688828074	10.76974238461093	6.871212480997878	7.262908770395651	8.726200048324998	9.463793361040347	12.64865083790633	6.572762255175875	10.402369513927411	10.173998051673383	8.849098283348287	9.963656414894327	5.096966960953841	11.527761546735372	12.040047966643035	7.57381711698728	10.509458378799673
CD7	0.0	0.4896628695761127	0.7854779622737449	1.5863385263132228	2.2926269109862427	0.767022658252722	1.0631200201342423	0.041728238569074705	0.2405480364259771	0.20593291781368506	0.7804366830059104	0.2823003702086473	4.912091673275377	4.347514555484025	1.7851114098400709	0.5287233211312048	0.7386374339045765	1.4281490939608719	4.077399706941024	1.054011613741967	0.4018228856811805	0.10404213103798954	0.6624768095474158	4.471513247159758	0.6071077327233574	0.12963518611110003	1.2996246878124267	0.822959704198982	0.5039706671984141	1.477304034454169	3.309117742912158	0.549069622497947	0.28007628436882603	0.48933257077193315	1.0163869952586086	1.5682118531612237	18.894692555114432	0.7512968895795296	0.7183023671904125	0.34109138257295646	0.1492669230919781	4.935074635367909	0.04548016482926798	3.831988019269673	4.606875950280952	0.32651561484295843	3.1019084979070577	0.605039369347353	2.6474283266829453	0.10065263538676361	0.41886182264281935	1.276765775864901	0.2865998269605998	0.1615450061126511	1.1443158275414778	0.41802769518690686
MMP25	0.18778284387337885	1.2297567404612533	3.942211689695573	0.04044367677271521	0.6396402708814959	2.778495369397298	0.23654599731301929	6.048403337483034	0.86559647620677	4.223433711973198	0.12570581026823735	11.040571798080588	0.5075648317005084	0.21224645988500979	0.3958983232017379	0.7576436644386926	0.6078045175442168	0.14715180764379387	1.235047150036925	3.9411019993858867	0.261513338855357	0.23152994485011957	0.7921664376948403	0.1176894356220557	0.2504029200833793	3.800069724168668	0.13400826546112987	0.5770736936215344	0.4306644782780209	0.6859332335619295	0.6746088931543064	0.07932495649217519	1.2043711880249859	3.4451355459320885	4.6591892367002	0.5351984031639507	1.300724423776419	0.2512492338372272	0.2930097280688029	0.4394001588073293	0.027484585195298505	0.930418253169137	3.08006130820222	0.158447307213881	0.4848234433617753	0.07638962732122412	0.3729311378429565	1.6453834223613275	1.8437554602749437	0.1111992881658932	0.09558469197152286	0.2670236603458527	0.10269098095586116	0.12962712209468163	0.43691453758330834	0.8464079909419138
IGHM	0.08478173480659357	17.754676221550543	1.6976553131639145	0.7582906651059595	4.271088379286653	2.2928342087498303	5.0406299975975335	1.37232927765309	0.8870280915380531	1.2743329568340034	0.3179717762679972	1.1659100021266249	2.9668231346571865	14.71792687314825	0.6242779245233934	2.015946827044507	6.121648974095492	2.6401445671674604	28.05858478648462	5.245523579608264	0.6705220209506659	0.4433386827731076	2.2651406374709993	5.318458877388492	0.7816200808575429	0.22308236200464004	0.8862990929434751	3.16789160912601	5.544869313122237	12.394760982984167	94.78633751402914	7.623526039772003	5.61884670179305	179.87904362626162	76.33398757093003	1.7723827668411087	586.2572827386206	12.25312010606468	13.96938704197921	1.8384224064647308	3.491469232843981	214.02152880965014	0.11304860602025824	13.35135398164388	63.48722423365406	23.45221015640877	11.225312651928316	29.535706520307308	1.6531667252147364	1.5973609826558803	3.6315576943978387	3.6187841658716886	0.6664791119328364	0.009754185617247835	1.7748991282790496	0.4534159457709286
P2RY10	0.009341821768344083	0.0	0.010638431120769454	0.046275820955208546	0.020762525480827465	0.0	0.045109483495723746	0.0	0.026063658966269054	0.037864604798165225	0.21021761359515168	0.012235029118500051	0.10957693653092715	0.2050760951030539	0.11073051886933505	0.10615089678704392	0.164204044453933	0.06734868090303459	1.2697833785273853	0.3040061853742415	0.04432957565021378	0.04509234266530271	0.0	0.0897738235123664	0.051162865871610785	0.01092476224852712	0.0	0.08253626108896728	0.12894865215868978	0.3511160410166665	0.786096833607401	0.07474677476844382	0.02178729575350835	0.20243905325365952	0.10857563028870798	0.023552931134620758	1.368270496443666	0.1950759888017446	0.3038320334372324	0.04881198690531052	0.012579190073882973	0.8267548088235175	0.011498266852293826	0.1473030481206301	0.3025838038587665	0.04855851394711608	0.13839221790231537	0.10589931365407668	0.012708629909123248	0.03817040457328602	0.05208018898053379	0.30035110084943484	0.07049966512909189	0.0	0.013886650197668882	0.05764663673346604
SLC7A10	2.528390636697604	5.650827585029468	5.068099343467168	2.9322597342505925	2.3043299916962243	1.7950186633946696	0.4771187004359514	13.500044215745982	5.777800465100974	21.193069423705165	0.46168281863147764	1.4607232546201603	10.084755381082642	5.260816453604026	0.09917889991082762	0.4101362196653249	0.06717565197121855	7.676364114878108	0.02373906773552026	0.7047549369705275	0.01926861738120378	0.5161377380444685	9.478419280844811	0.04624799565479565	0.12453742144034186	11.928576179230587	0.46971506226229875	2.050900731633939	2.855868912537002	26.848914928888508	18.827289048641653	8.837274420100306	2.468572042627934	1.7533547252056279	4.228607228171609	5.951509993057773	0.09738472954264954	4.694863120038035	0.5768393558701426	7.044035707247211	1.4216183034834597	2.0281873263559227	1.579342946626003	29.630104830972016	3.523989048183674	0.5347055648619166	0.08020609735683015	1.4320746144066847	0.2946147184340602	0.9733637208657446	4.3524473614819295	0.27010925157000676	0.24515119812534603	0.00747476004872083	0.16901004064223724	0.2739577195276428
GPR18	0.06179409462163443	0.05931561468212232	0.030158948602024838	0.07288199264683981	0.09809966834853556	0.0	0.11722436925731206	0.09969141551929428	0.09851735244504112	0.008945215205865109	0.04182084931166985	0.0693703066057354	0.0931920832854718	0.581371382815667	0.07609953326465702	0.11145473265023464	0.29208029808797953	0.06364238557030588	1.0837854886326603	0.15959793624195706	0.14661519242233023	0.021305422910324223	0.0	0.18851875587325795	0.15471135793080104	0.07226489745195641	0.13454506107290198	0.03899708562440196	0.06962995502939262	0.07806908644138288	0.2058463387690992	0.06054287282431914	0.12352985611215983	0.06376617977241072	0.11286061192538277	0.033385168895906814	1.0888190246456353	0.06791498550911301	0.03960161615602176	0.09225158531497346	0.09509551238261515	0.2568517136738899	0.010865500594673616	0.16061163265692802	0.1633898168190382	0.045886268682711284	0.20706246543809392	0.04447623166060333	0.06004627810851604	0.012023277331497662	0.05905696901383517	0.16637861621024408	0.09992994986490711	0.0975009581198929	0.1443469252472096	0.0544742589258953
ALOX15	0.6877847667780002	0.7923966692285884	1.3467334968524067	0.04085159869868016	0.15946095326336596	0.0	0.03583977617922307	0.08940597922929139	0.4900833101125943	0.97771937999319	0.058603246538406095	0.01944161941893152	0.4991416164696778	0.6917560785451702	0.047986970667816875	0.22490019612999546	0.8953217862423133	2.039286005783879	8.889822334752022	0.0059638241744923715	0.035220134355473665	0.07762334163688478	0.12524186590912434	0.015850196219379775	0.444431555091479	0.06365182422888904	0.13922732162768625	0.22404994228963448	0.014635791076276439	1.6136150849920208	0.3009922963045901	0.17533244427209804	0.17887152196695144	0.10722609078092682	0.005750935999168316	0.09980243204597472	0.012714616988724226	0.038067506566198395	0.37735547051615326	0.4498646931818546	0.02665132750082022	0.0599874008141319	1.1023439774843045	0.7202044538412118	0.038159490120725614	0.2366243260723424	0.9834730755285817	0.05609179274938647	18.740196438779673	0.3167448348952726	0.0275853644923143	0.586977133665574	0.21160254953720825	0.5806663259355433	0.21330531107193584	0.01221350012112521
SLAMF1	0.007890983672178553	0.03976605509959397	0.049424222164398346	0.1368112289238499	0.11399691608002938	0.06229074570652182	0.1190741373019566	0.017822555241101767	0.027519780461570553	0.07196403631545789	0.07943904124322332	0.19119489986513716	0.1064428667366859	0.3008672703467796	0.0680243192642338	0.08468366615677803	0.35899398549279127	0.08059281714530964	1.4099221217157831	0.23777064288964977	0.037444940218982925	0.0	0.03328830417397177	0.2906871778887621	0.05186037788703368	0.0	0.03700552844696858	0.08279001804009645	0.11670234908299704	0.505940347972063	0.30800534395227586	0.03156908758649357	0.055210814116002815	0.10924943519709118	0.11005586024564762	0.0646588372994672	3.1073999729131883	0.16477957732960746	0.1769966821868647	0.04947744898956641	0.08500456201689288	0.9757838117513322	0.014568780839575579	0.12921166343294188	0.7606869546199435	0.04101710032637751	0.22405664418559512	0.05963503162922246	0.11808398078628102	0.026868602891291005	0.0615885748533922	0.15747198531482276	0.06947577680907524	0.0	0.035189923129295586	0.05843254309520329
PVRIG	0.008489568875141407	0.04753620329856756	0.05800733259339741	0.01401802842437938	0.018868363630011098	0.0	0.3894444496249676	0.15339614581465555	0.08290056446929284	0.06021789026693525	0.05027355121388544	0.0	0.0	0.019617582739293482	0.16466496789597995	0.06431117839603351	0.2984474719249841	0.040802981071289324	0.08375380009169953	0.15348430562001392	0.010071348903380128	0.07171250715460409	0.0	0.01812972712733374	0.1487849147849929	0.1092090774568184	0.009953162861687126	0.5062938162874033	0.19251770076324015	0.11261780513895392	0.07746303754693606	0.29111845097979483	0.11879786565609884	0.12264704738497634	0.02960108791509164	0.09631890461740644	0.06544438946009845	0.21460118260878858	0.3141981047942144	0.07097420354047546	0.14861070369988205	0.08233754531101822	0.2821306091915985	0.0823782244918978	0.0	0.026477117131015415	0.0628833590919855	0.04277250504457131	0.11549223652312679	0.09250166592154785	0.01893156869587509	0.0752965843757647	0.11745798542572272	0.035162265894475686	0.03785932001990666	0.0
