Gene	TCGA-3X-AAV9-01A	TCGA-3X-AAVA-01A	TCGA-3X-AAVB-01A	TCGA-3X-AAVC-01A	TCGA-3X-AAVE-01A	TCGA-4G-AAZO-01A	TCGA-4G-AAZT-01A	TCGA-W5-AA2G-01A	TCGA-W5-AA2H-01A	TCGA-W5-AA2I-01A	TCGA-W5-AA2I-11A	TCGA-W5-AA2O-01A	TCGA-W5-AA2Q-01A	TCGA-W5-AA2Q-11A	TCGA-W5-AA2R-01A	TCGA-W5-AA2R-11A	TCGA-W5-AA2T-01A	TCGA-W5-AA2U-01A	TCGA-W5-AA2U-11A	TCGA-W5-AA2W-01A	TCGA-W5-AA2X-01A	TCGA-W5-AA2X-11A	TCGA-W5-AA2Z-01A	TCGA-W5-AA30-01A	TCGA-W5-AA30-11A	TCGA-W5-AA31-01A	TCGA-W5-AA31-11A	TCGA-W5-AA33-01A	TCGA-W5-AA34-01A	TCGA-W5-AA34-11A	TCGA-W5-AA36-01A	TCGA-W5-AA38-01A	TCGA-W5-AA39-01A	TCGA-W6-AA0S-01A	TCGA-WD-A7RX-01A	TCGA-YR-A95A-01A	TCGA-ZD-A8I3-01A	TCGA-ZH-A8Y1-01A	TCGA-ZH-A8Y2-01A	TCGA-ZH-A8Y4-01A	TCGA-ZH-A8Y5-01A	TCGA-ZH-A8Y6-01A	TCGA-ZH-A8Y8-01A	TCGA-ZU-A8S4-01A	TCGA-ZU-A8S4-11A
FOXP3	2.226739639168912	0.43633745214337893	1.2817423494979963	2.3200868528320258	2.867891417420602	0.40229263337339427	0.4520893233907919	0.4961050339083206	19.35605483680197	0.11839494723696853	0.5591114550576959	0.2751748803871952	0.1455669524903518	0.17260698274407127	2.7980681003577357	0.2662114538062126	0.1688840349338283	0.5535858737429116	0.12163255813210361	0.7255744261079611	0.14613370308903662	0.9081963877085331	0.17786992533288903	1.043792029748261	0.07405523481320664	0.7468004162200708	0.0646459284709957	1.4905080888222488	1.725211036206792	1.1404276151540809	0.5892160291179362	0.4507582390132432	0.24192482191171005	1.259521140037715	3.671656444974481	0.4923944776536662	0.5041045296089244	0.26879105789331414	0.8941140458238472	0.35753749767169984	0.12634158951402008	0.16956653571209857	0.7228167253055662	0.8801281116136361	0.4371531620851632
HDC	1.9483755351766545	0.04541566481722925	0.6031053653176737	0.32851487196354956	0.15689409219067119	0.0	0.05792506911737383	0.03433954599088884	0.8470418117842506	0.01828136960419413	0.1463897678142354	0.03563657857649005	0.0205053335767873	0.2722337236327317	0.17607046464887421	0.25605440342417873	0.041632327753784004	0.09912379252110748	0.6975907439899576	0.0	0.03451043050712932	0.24439444216760609	0.07032679934538288	0.14550248055379678	0.20921581420372548	0.052812952893516174	0.16340872572036846	0.5399822652613464	0.0	0.07861951505196951	0.00625794384690348	0.02234125489018801	0.028566065110424477	0.0913834471934456	0.26182973402613174	0.040460758148593845	0.0348932574668972	0.04842138049010902	0.04653139859301714	0.026581332331732765	0.007685131616974816	0.04727445863150548	0.37829584308264064	0.2061159476746679	0.7605094772760335
KLRF1	0.9395823218330759	0.08148043991721887	0.39955840235560913	0.18201748368218773	0.2841909472112416	0.3018335035541009	0.28290317707195856	0.3593842432283201	6.191831511322405	0.0765302625970441	0.23832013229262583	0.13053546745235467	0.04828517835107893	0.9583307983542573	0.29482952725972855	0.6641157066586707	0.07469273859110803	0.032759709541578586	0.3102802428231719	0.04011268809331581	0.03611726536667481	0.6221521320562398	0.4416076479528199	0.20100590297722976	0.691443409348125	0.2168361848591125	0.30179501351419624	0.4151933608105509	0.055758652171263634	0.7695609935486638	0.09823978515186038	0.10521667183966121	0.23916900227927496	0.14345750678485936	0.7520995000972903	0.16332934615908656	0.34692021220056346	0.06515475551669558	0.14609381971039714	0.033382778001332936	0.024128873552893282	0.1335841131036808	0.40593264608644697	0.8320353969425398	0.6345092057942987
CD72	1.7928238167774206	0.46996839680365143	1.6290580640998864	0.7826859310134326	2.5944803780730026	1.527530690174936	1.1429756238428497	1.4108962626125026	40.04614230283087	0.8543543786694261	0.15836393906012747	0.3608422845105441	0.3114436784370165	1.3975434368823487	1.899390903803993	0.36419315029298294	0.8894303662135237	0.8167674777045348	1.4059152380668976	1.3583345590052942	0.752638583660769	0.9414966109435337	0.7015680590075841	0.9995788366369902	0.5724930886315069	0.49837440076630934	0.2751450699108997	1.7703349517750895	0.4564766208469391	0.21612786320416966	0.3948160060097987	0.4894160016189879	0.23362418045975786	0.9786971077154178	2.9288892468000274	1.2088108135709583	0.44164462615806777	0.9940622179538527	0.22522437651593052	0.37267247739188214	0.4938366619073489	0.4308146825459651	3.082658428736705	4.245198912464031	0.9941637072769054
NCR3	0.4364396502298038	1.418848749543152	0.3612021717383094	0.21025121877464703	1.1226949300660434	1.03549810873323	0.6092221882505131	0.7285537009989445	58.18673413615914	0.3381349473672437	0.0884851976334684	0.32956974455781163	0.08366243773732362	1.3463303963951994	1.2260237767340914	0.3088709057813004	0.09706358356518896	0.3575997996987814	0.22769546066175494	0.08340261880811628	0.05632147817089783	0.4958737290154247	0.935851698727935	0.36094219301395003	0.3055016053681414	0.2519441984818622	0.18824837476632061	0.8452884635313751	0.425090714572975	0.18114082792260655	0.3676696909658703	0.1276142802020841	0.12432052098669866	0.09942599480145309	2.7820581324070615	0.5093935053484713	0.07592834243085478	0.067735141873835	0.21697101937100016	0.10411460465717659	0.03762670875821694	0.030861016228672877	1.5786269570072227	0.46132655672056955	0.7290738920144963
ST8SIA1	0.4834970063086712	0.08683633156910808	0.07254469910579076	0.06685997467301585	0.12691756173186675	0.02100726172626488	0.010548071229734113	0.028139317256105745	1.216887771935251	0.018309560167122374	0.01036675297552514	0.009734054052974228	0.04900863921577803	0.03380002293260009	0.2837502639723326	0.019765851206786422	0.025992639819123475	0.07410122796304708	0.006351513229817307	0.050601312674531496	0.05970084463707548	0.027063166691718044	0.06649481258906431	0.15102600909063302	0.034588880071313444	0.051044938180823785	0.007876718574092445	0.1730808476065988	0.05659408871900973	0.0075793234635010975	0.020512125270984782	0.01830739577688112	0.010403678204502498	0.03189485409418391	0.298246207733156	0.02526118451948811	0.03971257294150332	0.052904779733166096	0.03268272981137477	0.11617013127634035	0.0650744873974125	0.01291291571821307	0.13472228950195153	0.22037476922402632	0.005810671671693246
LRMP	1.752816468044415	0.6567080232123286	1.031012006311978	0.40997153719364143	1.8786679712414736	0.2727559204444301	0.19247725363909973	0.3467058303053012	20.065847733457034	0.09345622298199152	0.1954049543706291	0.2960389550679563	0.20440943888116414	0.4807644329267582	1.462646484456334	0.20915162939140552	0.15962152412725716	0.5880745688405316	0.25408853790111685	0.2939057200871591	0.18083135577069065	0.45078594100068026	0.6429836853093955	0.7854776127176499	0.33774711989888595	0.37382565192412764	0.2985190839244176	1.0731931510770143	0.46755559079770226	0.3617198699867661	0.29751858949840093	0.1798819627117152	0.21904895052730589	0.3503711156209506	1.8667806846618609	0.1905878394795928	0.2095940152271083	0.4243457618449775	0.42307456221420625	0.28943819732471265	0.19447151818835717	0.3045065264789657	1.505494209814858	0.9844435090012902	0.4689830950482423
DEPDC5	1.8439826259519525	2.9374116132703256	2.1766000561241077	1.9090071860958906	2.120405661765681	1.8003948659945	0.8729406232499728	1.7569311685773106	4.906145545251825	2.117748115808469	1.0023053880049684	1.5710125072629868	2.093300338179768	1.5648577576753477	1.3314272666855196	1.308451747716394	2.6381683054086893	2.739728563717609	2.589855286629507	2.839749269440506	2.812308148415332	1.8395845251543412	2.263867115187555	3.682878686859482	1.5705534687822102	2.1883441686167653	1.5658654160243364	2.1701907731931787	1.677249646934626	1.3750436493478317	4.630502786824309	1.8008534316384877	2.10038883132224	1.1835769410373445	2.030123186702262	1.899929217021306	2.0435062819206613	1.9131458592799695	2.2074498087813774	2.5480639446021	1.8454348934405718	2.151753857000444	2.1264081997604154	1.6969623835287417	1.021659077992426
CCL1	0.0	0.0	0.036974411498783555	0.04304467519511679	0.08064878231662265	0.0	0.0	0.0	0.043208394463283506	0.0	0.0	0.0	0.0	0.0	0.19609649722826017	0.0	0.0	0.06972505747041335	0.0	0.0	0.0	0.0	0.07230062843340757	0.0	0.03679133005820279	0.0	0.0	0.0	4.074525832644564	0.0	0.0	0.03732348156491372	0.0	0.06785152347927315	0.07445359601868229	0.0	0.0	0.3697972610414235	0.1776816726198167	0.0	0.0	0.0	0.0	0.0	0.03553883353929832
SLC12A1	0.006056941969481366	0.002057257019387748	0.00877238361945909	0.0	0.003826873928462371	0.0	0.0	0.02722171447978905	0.047156580555628214	0.0038645451616086124	0.017192058277026634	0.0018833267186175728	0.008127514791355317	0.00523165258237035	0.0	0.021180518141522997	0.009429389490302142	0.0033085311015095265	0.0	0.010127842857803993	0.08024772330600216	0.03979459773811289	0.0	0.009227441697185146	0.0174578930703142	0.009017290376136522	0.010667810272523726	0.012230166728032232	0.0037541894696897504	0.005865733767312475	0.0	0.003542080969292316	0.0	0.0	0.030029696630735403	0.014662461341622635	0.003688087168398635	0.006580233404220648	0.0	0.010114371661232191	0.010965911593912692	0.05546374686441147	0.00151839720135305	0.0037346891815266403	0.015177212656119377
ZNF324	1.4542264253553836	1.2552217134533383	1.1361797974153727	1.336208857962136	1.6985225891618465	1.2623291017331186	1.3485850602057	0.847446319307241	1.576129937019834	1.1023519551550263	0.3446048523090006	0.8587131916106172	1.5789867115563117	0.5012798810681094	1.23795607911612	0.777566338081686	1.470513291026517	1.1733112072108351	0.7552060247167336	1.6062072139011754	0.7673005899677918	0.8165746733239287	1.0352878122171982	1.8902375217300635	0.45760515888759645	1.4187312693284357	0.429674256529212	2.8363116371968884	0.9799110588143665	0.374690314255806	1.171384556866796	0.7724062879783538	1.2237142807270383	1.152421708816774	1.1205897163408904	0.9002722787944626	1.3932126942963516	1.2803185538542445	1.6992692165347045	0.9951179798269802	1.417060116296962	1.5254626475369863	1.414744073752206	1.1187820591697406	0.37516559586542253
IL2RB	5.343241757973827	1.119489235667292	1.5927632446136175	4.982631797977238	7.4917570977507015	3.1881324362744197	0.5308948982513297	2.654320262805226	20.85534978927053	1.364355468731166	0.7164815892122318	1.0948315163770586	0.5177814869989781	3.3537720371560606	7.2568053881466685	1.9490643270002836	0.3854622073467904	2.243900700588683	0.6752381554694518	1.3710858174872067	0.1452375139210087	1.6790165197901246	9.084035553666311	2.3416215714645854	1.6960959715655948	0.9813804902234269	1.1326944762510585	3.1258759728413974	1.3353604017932974	2.4523384852762193	0.8217026455105216	0.8509118503484918	0.14426470669406988	2.239158020780501	5.1672696579421675	1.0216771866071124	0.6852936778533412	0.8617062984930874	0.9399738527706276	0.4519459923883633	0.1875891573672892	0.16314315089788667	1.5195124156221875	5.278999050400756	1.2220519406986372
SLC12A8	4.806885722656201	5.2334335187180425	3.6324678553492715	8.334484779125534	12.068499773315756	6.284037378525793	4.175176856046418	3.315522304068261	0.2884891299497887	8.963535079776525	1.474461828157934	7.966729603270778	7.914412692157599	0.9055554180754195	18.78291306889246	1.9789439141765817	1.6847986148487606	7.636953340873513	0.28818598404644225	13.323142830950715	4.130403054324675	1.1226805390559353	7.735157673939964	5.9683502565640145	0.26903907092975454	6.329583458961521	2.1102959591679293	3.4807563707053735	5.48363286014729	1.3493791857417858	4.077320406307346	10.64033260343595	4.255140237903728	6.93917263393747	4.584400869603932	3.0291658184964065	2.2363792072698256	7.852862638563069	2.777508709838764	13.745923588326878	5.241226743918749	6.100006367842746	3.584551436197999	2.1228371781701685	2.500875223464878
HCK	6.761547935485379	2.672885194296889	8.82774836815677	3.6179801251868406	7.813228991094174	1.881871371773303	3.3679385342902535	5.32346627558732	11.317133734334154	0.3742359542267286	0.5133286161279651	2.72807306169918	0.8264073862677104	6.068936955052963	9.513901882063193	1.730603144489784	1.0044385739429837	2.4830418913844126	2.491615754043139	2.4600805443591818	1.206868000543654	2.7212113305019163	3.2115321835353354	4.706133736873053	2.5570212368101326	5.519991547131743	1.7279033390160796	5.40006500807501	6.074302845189583	0.8047058254684605	3.594966109425272	3.129957786487493	0.30456919355637324	5.7744894225167345	5.84455912857589	1.56779268888759	1.4360328386269035	3.734808818810653	4.499047061050781	2.0881510650859805	0.36872227534846336	1.1673488797182006	5.642621322361517	11.821791416102812	2.401928615047238
C3AR1	10.005062878887562	3.446109794527695	5.969686802009011	3.837217068585743	8.55832094451877	2.907733108357334	2.5758037520825163	3.9476976871652782	4.913146966499437	0.3708774264331962	0.3899783982971796	2.880908638321478	0.6523563956251186	4.336125366197188	8.626856289755116	1.426981043604569	0.6361940951354645	3.3002543752163174	3.988332796283615	3.62865547674331	0.39249112153833265	2.131849962999767	5.427569413920373	4.551192778387366	1.5941880563712387	3.6338569194502	1.6664149837187283	7.113452685214222	2.5329245070235844	0.8102779691941329	3.012320349189072	2.987270543146955	0.43903400768029344	3.9231782508266733	2.7945957681213134	1.1939413276346333	1.222711796852467	4.669272269471008	4.756733038954531	2.245283628091379	0.87167664877115	1.412441811274781	4.716010042153468	14.80363584561818	2.432479899719014
ATP8B4	0.5079042247325671	0.20795854843012362	0.34865770445262023	0.28858678473490285	0.49454091725269445	0.322148418488273	0.19926427627271215	0.2939333608874477	0.263777680369383	0.06436828550101792	0.15403805622806277	0.41104069486045747	0.052281898297467766	0.4537236322739444	0.4724371038629711	0.2676300145170034	0.06715538093588624	0.14251876216210468	0.18209766792274218	0.12331853930883341	0.060755219431894325	0.4138133691162955	0.34876848585436315	0.3370652510008547	0.27674288743471975	0.21604112158765432	0.21707233639428325	0.48367866657364034	0.15955979278928956	0.25941114423261924	0.11168997947289139	0.2542986498296904	0.05549266971212519	0.4807893607373235	0.2211740007307672	0.2126394397102962	0.11650362090096156	0.2544760822219274	0.4091864465118238	0.07358288420514802	0.03918914735970813	0.11192481624629491	0.1936038216301117	0.37323234084369283	0.3641773333565548
CDA	27.124390829966504	2.8784678774417376	9.27378136630515	32.30952093511034	1.5617222145835843	2.4880107489181116	8.249139368859865	9.286891892755802	1.7796653769406348	1.6772286522562725	34.87937637110996	10.418438243368842	2.190131454177833	18.876139342266455	2.7967473847664546	43.1038207052636	0.952855964272648	1.0715792840734397	20.77632412085042	0.26241945481580253	6.710385378419277	27.05295781683167	1.288948275125223	2.988617928697172	23.72555586372984	7.126150154415285	28.351808185421444	3.2368267458822775	1.215920763857747	37.939316271678024	5.835626863829682	0.9407222684772887	3.168430474113287	1.20963131370402	9.268428962284991	3.727911763837625	2.1501203510696034	1.4208202137629171	1.8022788973544555	1.7471360449341988	1.657450659931047	18.449311570969112	2.83267640881016	8.564002964144363	31.350934442765727
SMPDL3B	10.405711365337913	0.7498031493492792	6.107563463462079	1.2311744401927651	0.4559827782213304	1.8089661887103219	1.401801135828586	0.7462270578488619	0.6322990218993307	1.0834621446341353	0.24903114947429716	3.44085625443174	3.205267794379738	0.14667437666889005	1.0434977650210149	0.09072189724295887	4.238603103998335	2.937331260022836	0.12058478703195408	0.04732395786287191	5.496723139238213	0.45997314931829814	2.1561293027498154	8.58022133338068	0.22840939589741782	0.4935782026804101	0.14954112467404612	2.2369125450317333	4.420596064264907	0.1438950172377773	0.28743415790602445	0.041377342858502475	0.02821656768458869	0.8349549271290628	0.643814466243497	6.731371255206976	4.4633921564849155	4.089376003549861	3.407761457491822	0.5119942918175444	3.1313313430925263	3.7473595773598714	3.5261914500058973	2.800874212629975	0.10243702731025373
HPSE	1.2058185561453527	0.8318046604115457	3.0044430928976933	3.0766776525785895	1.203462278470531	0.7089027509874957	0.1564027308106124	1.0550869754642505	1.4737531264630617	0.42382624774452515	0.07723571328291756	0.9356746915036911	0.22337392399661282	0.4769791077756018	1.249169163114487	0.35449514526203707	1.4901367473490619	3.020818545809748	0.4286713099694295	0.7494045943299523	0.35665895178918317	0.40404965831052997	1.2058170472947394	3.3846373418504117	0.2721981733260561	1.1029717545742432	0.24164057426137786	0.7710671025008828	0.5654997386065423	0.09688214160256292	1.3424369878770128	0.4305837957952072	0.06383243865097299	1.0890737223381404	0.5415036375528148	0.4746618575095687	1.6081497478527953	2.5388410982585077	1.1586004257464602	1.3230780749475906	1.5648757687838621	0.5427119867285006	1.1034672650096398	2.6647691594411684	0.17825875412178172
